Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
08-Sep-2011,9888.55,9940.25,9749.2,9920.05,17881542,1461.18
09-Sep-2011,9947.1,9972.0,9647.6,9678.7,17554389,1628.12
12-Sep-2011,9550.95,9550.95,9347.15,9395.25,15016277,1362.58
13-Sep-2011,9454.45,9567.5,9260.9,9339.7,14917129,1397.74
14-Sep-2011,9365.05,9507.35,9267.55,9472.45,17462937,1607.9
15-Sep-2011,9569.35,9708.8,9390.1,9660.35,17226040,1501.96
16-Sep-2011,9744.65,9798.75,9590.15,9720.25,25939207,2417.83
19-Sep-2011,9664.35,9664.35,9545.85,9583.55,11199023,875.44
20-Sep-2011,9589.35,9848.65,9578.6,9812.7,13791717,1154.51
21-Sep-2011,9838.6,9962.95,9809.3,9929.0,17281920,1571.42
22-Sep-2011,9756.2,9756.2,9489.7,9520.6,15097772,1290.17
23-Sep-2011,9418.7,9540.8,9284.65,9375.7,25547887,1908.56
26-Sep-2011,9373.95,9467.75,9165.8,9384.5,20996130,1578.8
27-Sep-2011,9528.3,9661.5,9528.3,9619.95,16511127,1204.77
28-Sep-2011,9670.45,9675.65,9449.0,9512.15,16614757,1312.5
29-Sep-2011,9467.55,9688.65,9406.35,9653.4,22781919,1693.8
30-Sep-2011,9600.35,9635.65,9420.65,9468.3,17964080,1469.84
03-Oct-2011,9332.6,9332.6,9156.45,9185.9,14777605,1128.04
04-Oct-2011,9135.05,9240.15,8818.05,8913.35,24395091,2103.45
05-Oct-2011,8930.75,8991.8,8626.45,8701.3,29657407,2396.47
07-Oct-2011,8970.55,9120.05,8970.55,9038.25,22109757,1685.63
10-Oct-2011,9051.0,9190.85,8982.9,9168.9,18678576,1388.52
11-Oct-2011,9262.1,9363.2,9148.1,9178.65,16621497,1443.79
12-Oct-2011,9240.4,9514.2,9193.75,9482.3,21933989,1980.99
13-Oct-2011,9594.0,9685.05,9547.1,9591.25,22114747,1984.71
14-Oct-2011,9548.25,9691.85,9526.95,9660.4,20812157,1535.52
17-Oct-2011,9717.35,9788.2,9666.35,9721.3,13006452,1123.52
18-Oct-2011,9625.55,9634.55,9492.95,9583.9,13090163,1029.05
19-Oct-2011,9673.0,9865.85,9673.0,9841.35,13388954,1010.53
20-Oct-2011,9722.85,9763.8,9618.35,9746.4,18001358,1143.99
21-Oct-2011,9767.4,9811.35,9678.4,9695.35,12395573,1024.15
24-Oct-2011,9819.5,9916.6,9606.75,9647.85,20494094,1506.02
25-Oct-2011,9709.85,9817.1,9323.0,9511.6,55342097,4038.5
26-Oct-2011,9574.55,9607.3,9523.7,9546.6,3682814,311.76
28-Oct-2011,9837.95,9932.4,9837.35,9917.05,27730083,2148.04
31-Oct-2011,9932.0,10080.05,9826.8,9989.65,23827453,1875.6
01-Nov-2011,9898.4,9984.35,9782.7,9822.25,21290321,1686.98
02-Nov-2011,9739.1,9888.7,9726.75,9781.05,16921136,1346.79
03-Nov-2011,9743.85,9814.65,9648.65,9782.5,17560298,1524.99
04-Nov-2011,9887.9,9914.1,9808.1,9836.35,14169428,1256.97
08-Nov-2011,9855.95,9893.95,9732.85,9852.55,15103668,1225.53
09-Nov-2011,9896.15,9896.15,9565.1,9592.65,25057938,2878.1
11-Nov-2011,9553.0,9571.85,9270.35,9292.55,25502963,2326.44
14-Nov-2011,9416.35,9458.35,9254.3,9275.0,17017201,1385.64
15-Nov-2011,9254.75,9308.5,9062.4,9085.7,16739270,1445.18
16-Nov-2011,9055.6,9145.65,8957.05,9061.55,18300982,1514.44
17-Nov-2011,9049.3,9124.9,8899.65,8930.9,16656129,1342.72
18-Nov-2011,8867.8,8872.65,8706.0,8850.25,22133395,1690.05
21-Nov-2011,8806.7,8806.7,8522.3,8554.15,15843092,1254.29
22-Nov-2011,8603.85,8698.2,8544.05,8611.7,22314227,1653.65
23-Nov-2011,8556.4,8556.4,8240.45,8399.3,24733324,1687.36
